"CountryOfResidence","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","OccupationYears","OccupationMonths","CommunitySize","MaritalStatus","NumberSons","NumberDaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","P1","P2","DPmean","AIPmean","GPmean","SWLSmean","HDI","Category"
"Turkey",23,"Male","No Kids","ltuni","student",10000,"",5,10,"Village","Single",0,0,5,5,4,4,4,3,4,4,3,4,2,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,2,5,3,3,4,4,2,2,2,3,2,3,"yes","yes",4.4,3.46666666666667,3.6,2.4,0.767,"High"
"Turkey",37,"Female","No Kids","ma","part-time",15000,"",9,0,"Village","Married",0,0,5,5,4,4,4,4,4,1,5,5,5,5,1,3,5,2,2,4,4,5,5,3,2,2,5,4,5,3,5,5,1,5,3,5,4,3,3,5,2,5,4,4,3,4,3,"yes","yes",4.4,3.66666666666667,3.75,3.6,0.767,"High"
"Turkey",24,"Female","No Kids","deg","student",15000,"",1,0,"Large-City","Single",0,0,4,5,3,5,5,4,3,3,5,5,3,4,4,5,5,5,5,4,4,5,5,3,3,5,4,2,5,3,5,4,2,3,4,3,5,4,4,4,4,5,3,3,4,3,2,"yes","yes",4.4,4.26666666666667,3.85,3,0.767,"High"
"Turkey",37,"Male","No Kids","ltuni","full-time",25000,"Business Owner",10,0,"Large-City","Married",0,0,5,5,4,4,4,2,3,5,4,4,2,4,4,4,4,5,5,5,4,5,5,5,5,5,2,2,5,5,5,4,2,5,1,2,5,5,5,5,5,4,2,3,4,2,4,"yes","yes",4.4,4,4.1,3,0.767,"High"
"Turkey",45,"Male","No Kids","deg","part-time",25000,"Editor",10,0,"Large-City","Single",0,0,4,4,4,4,4,4,4,3,4,5,4,4,5,5,4,5,5,4,3,4,3,4,5,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,5,1,1,1,2,2,"yes","yes",4,4.2,4.2,1.4,0.767,"High"
"Ukraine",24,"Female","No Kids","ma","full-time",250000,"",2,0,"Village","Single",0,0,2,2,4,4,4,3,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3,4,3,4,2,2,4,2,4,1,5,2,3,2,1,5,5,1,1,3,4,4,5,4,4,"no","no",3.2,3.13333333333333,2.85,4.2,0.743,"High"
"Ukraine",37,"Male","No Kids","grade","part-time",10000,"",NA,0,"Village","Single",0,0,4,3,4,4,3,4,4,4,4,4,2,5,2,4,3,2,4,3,4,5,5,1,3,4,3,3,4,3,4,4,3,5,2,2,4,4,3,4,4,4,3,3,3,2,3,"yes","yes",3.6,3.6,3.45,2.8,0.743,"High"
"United Kingdom",55,"Female","Yes Kids","high","full-time",15000,"",0,6,"Medium-Sized","Separated",1,0,4,3,3,3,3,1,4,4,5,4,3,3,3,3,5,2,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,2,3,4,5,5,4,4,3,2,2,2,2,2,"yes","no",3.2,3.46666666666667,3.75,2,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","ma","full-time",87500,"",5,7,"Village","Divorced",0,1,4,5,3,3,3,2,4,5,5,3,3,4,4,3,4,4,4,4,4,4,4,3,2,5,3,2,3,3,5,5,4,4,4,4,4,4,4,4,3,4,2,3,4,2,2,"yes","yes",3.6,3.8,3.7,2.6,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","high","full-time",150000,"",4,0,"Medium-Sized","Married",2,0,5,5,4,5,5,4,3,5,3,5,5,4,5,5,5,5,3,5,2,5,5,4,3,5,3,4,5,4,5,2,3,4,4,4,4,4,4,5,5,5,1,1,1,1,1,"yes","yes",4.8,4.26666666666667,4.1,1,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",55000,"",0,6,"Large Town","Married",1,2,5,5,3,3,3,1,1,1,3,4,3,1,3,3,3,1,2,1,2,1,5,1,1,2,3,2,5,3,5,1,2,5,2,3,4,4,1,5,3,2,4,4,4,4,2,"yes","no",3.8,2,2.95,3.6,0.909,"Very High"
"United Kingdom",55,"Male","Yes Kids","ma","full-time",35000,"",1,0,"Village","Single",1,0,4,4,3,3,3,2,3,3,4,4,3,3,3,3,4,2,3,2,3,3,3,2,5,3,3,3,3,4,4,3,3,4,2,4,3,3,3,4,3,4,3,3,3,2,2,"yes","no",3.4,3,3.3,2.6,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","phd","full-time",250000,"",0,0,"Medium-Sized","Married",0,3,4,4,5,4,4,1,4,4,5,4,4,5,4,3,4,4,5,3,5,5,5,5,4,4,2,4,4,4,4,5,5,5,1,4,4,5,5,5,5,4,2,2,1,1,1,"yes","yes",4.2,4,4.2,1.4,0.909,"Very High"
"United Kingdom",37,"Female","No Kids","deg","full-time",150000,"",10,0,"Village","Single",0,0,3,4,4,3,3,1,1,3,2,2,1,2,3,2,2,1,1,4,1,1,3,2,1,1,1,2,1,4,3,1,1,3,2,3,1,3,2,1,3,1,1,2,3,1,1,"yes","no",3.4,1.8,1.95,1.6,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","phd","student",15000,"",3,0,"Small City","Single",0,0,5,3,3,1,1,1,1,1,1,5,5,5,5,5,3,4,1,1,1,5,5,5,1,1,5,5,3,5,5,1,1,5,1,5,5,5,5,3,5,5,4,4,4,5,5,"yes","yes",2.6,2.93333333333333,3.8,4.4,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","dip","full-time",NA,"",5,0,"Small City","Married",1,1,5,5,3,4,4,1,1,1,3,3,4,2,4,3,4,3,3,3,2,1,5,2,1,2,3,4,5,5,5,1,2,5,2,4,5,4,3,5,5,5,2,2,2,3,1,"yes","yes",4.2,2.53333333333333,3.65,2,0.909,"Very High"
"United Kingdom",25,"Male","No Kids","dip","student",10000,"",0,0,"Large-City","Single",0,0,3,3,4,4,4,1,4,2,4,4,2,4,4,4,4,2,4,4,4,3,4,4,4,5,2,5,4,4,4,4,1,4,3,3,4,4,4,4,4,4,3,3,3,4,3,"yes","yes",3.6,3.33333333333333,3.75,3.2,0.909,"Very High"
"United Kingdom",32,"Female","No Kids","ma","full-time",67500,"Town Planner",0,4,"Large-City","Single",0,0,3,3,2,3,3,1,1,1,3,3,5,2,2,2,3,5,3,5,3,4,5,5,3,4,5,3,3,3,3,1,4,3,3,5,4,5,4,3,2,5,4,3,4,4,3,"yes","no",2.8,2.86666666666667,3.65,3.6,0.909,"Very High"
"United Kingdom",25,"Male","No Kids","phd","student",15000,"",2,3,"Medium-Sized","Single",0,0,2,3,2,3,3,4,2,5,2,4,4,4,4,2,3,4,4,4,3,5,5,2,4,4,4,3,5,2,5,1,4,2,4,5,4,4,4,5,5,5,2,4,4,3,4,"yes","yes",2.6,3.6,3.85,3.4,0.909,"Very High"
"United Kingdom",37,"Female","Yes Kids","ma","part-time",10000,"Administrator",6,0,"Medium-Sized","Married",1,0,5,5,5,5,5,4,4,4,2,2,5,5,4,4,4,3,4,4,3,4,4,4,3,5,3,3,4,2,4,5,2,5,3,3,5,4,2,4,4,4,3,3,3,3,3,"yes","yes",5,3.73333333333333,3.65,3,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","phd","full-time",55000,"assistant professor",9,0,"Large-City","Divorced",1,0,3,4,3,3,3,5,1,3,4,5,4,5,5,5,4,2,3,5,3,5,5,4,3,3,5,2,5,3,4,5,4,5,3,2,4,5,4,5,5,3,4,4,3,4,1,"yes","yes",3.2,3.93333333333333,3.95,3.2,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","ma","full-time",150000,"business",14,0,"Medium-Sized","Married",1,0,3,4,3,3,4,5,1,4,2,5,5,3,4,4,5,4,1,4,1,5,5,5,5,1,5,2,5,5,5,1,2,4,1,2,3,4,4,3,5,4,2,2,2,3,1,"no","yes",3.4,3.53333333333333,3.55,2,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","dip","full-time",67500,"",3,0,"Medium-Sized","Single",0,0,4,3,3,3,3,5,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,2,3,4,2,2,3,3,4,4,4,2,5,3,3,3,4,4,4,4,2,3,3,3,2,"yes","yes",3.2,3.86666666666667,3.35,2.6,0.909,"Very High"
"United Kingdom",45,"Female","No Kids","dip","full-time",45000,"civil servant",10,6,"Medium-Sized","Married",0,0,4,4,2,2,2,2,1,1,3,2,1,1,3,2,3,3,1,2,1,4,2,1,2,2,3,2,3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,5,5,"no","no",2.8,2,2.35,3.8,0.909,"Very High"
"United Kingdom",55,"Female","Yes Kids","high","retired",10000,"",0,0,"Large Town","Married",1,0,2,2,2,2,2,3,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,2,2,1,1,1,1,2,3,1,2,1,2,2,2,3,3,3,3,3,"no","no",2,1.4,1.65,3,0.909,"Very High"
"United Kingdom",45,"Female","Yes Kids","ltuni","full-time",25000,"Technical support rep",8,3,"Small Town","Married",0,2,4,4,4,2,2,1,1,2,3,3,1,1,1,2,4,5,1,3,1,3,4,1,3,3,2,3,4,5,4,4,3,4,4,4,2,4,3,5,3,5,3,3,3,5,3,"yes","no",3.2,2.13333333333333,3.5,3.4,0.909,"Very High"
"United Kingdom",24,"Male","No Kids","deg","student",25000,"",2,6,"Medium-Sized","Single",0,0,4,5,2,3,3,1,4,3,4,5,5,5,4,5,5,4,3,4,5,4,5,1,2,5,5,2,5,4,5,5,1,5,4,3,5,5,5,3,5,5,2,3,3,3,2,"yes","yes",3.4,4.06666666666667,4,2.6,0.909,"Very High"
"United Kingdom",67,"Male","No Kids","ma","retired",15000,"retired",1,8,"Medium-Sized","Married",0,0,5,5,5,4,4,3,1,5,5,5,4,5,5,5,5,5,2,2,2,4,5,5,4,2,2,4,5,4,5,4,4,5,3,4,5,5,4,5,5,4,1,1,2,2,2,"yes","yes",4.6,3.86666666666667,4.2,1.6,0.909,"Very High"
"United Kingdom",24,"Male","No Kids","deg","student",15000,"",0,6,"Medium-Sized","Single",0,0,4,5,4,4,4,2,2,4,3,3,3,5,5,4,5,2,3,3,2,3,5,2,4,3,3,2,5,3,5,2,3,5,2,3,5,3,3,4,5,4,2,4,3,2,4,"yes","yes",4.2,3.26666666666667,3.55,3,0.909,"Very High"
"United Kingdom",55,"Female","Yes Kids","deg","full-time",NA,"",6,0,"Large Town","Married",0,2,2,3,2,1,1,1,1,1,2,2,1,4,2,2,1,2,2,3,2,2,3,2,2,2,2,4,2,3,2,1,5,2,1,2,2,2,2,2,3,2,4,4,4,4,5,"no","no",1.8,1.86666666666667,2.3,4.2,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",87500,"engineer",8,0,"Medium-Sized","Married",1,0,3,3,2,2,2,4,1,3,2,4,4,4,5,3,3,4,2,5,1,4,4,3,4,1,4,2,5,3,5,2,3,5,4,3,5,5,4,4,4,5,2,3,2,2,2,"yes","no",2.4,3.26666666666667,3.75,2.2,0.909,"Very High"
"United Kingdom",21,"Male","No Kids","deg","unemployed",NA,"",0,0,"Large Town","Single",0,0,4,5,4,5,5,3,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,2,3,2,4,3,"yes","yes",4.6,4.6,4.85,2.8,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","ma","full-time",55000,"",0,8,"Small Town","Married",0,0,3,4,4,4,4,2,1,5,2,4,5,3,5,3,3,3,3,5,1,4,4,4,3,5,2,4,4,4,4,2,1,5,2,4,3,4,4,4,4,4,3,3,2,3,1,"yes","yes",3.8,3.26666666666667,3.55,2.4,0.909,"Very High"
"United Kingdom",45,"Male","No Kids","ma","full-time",55000,"",0,0,"Small City","Married",0,0,4,4,4,3,4,2,1,2,2,2,4,1,3,1,2,1,2,3,1,2,4,1,2,2,4,3,5,2,5,1,5,3,4,4,3,3,3,4,5,1,4,4,3,3,4,"yes","no",3.8,1.93333333333333,3.2,3.6,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",250000,"company director",5,0,"Medium-Sized","Married",5,1,3,2,2,3,2,4,2,3,3,4,1,5,3,2,4,3,4,4,3,5,5,3,3,3,4,4,5,4,5,3,3,4,4,4,4,4,4,4,5,4,4,3,3,5,4,"yes","yes",2.4,3.33333333333333,3.95,3.8,0.909,"Very High"
"United Kingdom",45,"Female","Yes Kids","ma","full-time",150000,"director",1,0,"","Divorced",0,3,4,4,4,4,4,2,2,4,2,4,4,4,3,3,3,2,2,5,2,4,4,3,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,3,3,3,3,2,"yes","yes",4,3.06666666666667,3.55,2.8,0.909,"Very High"
"United Kingdom",19,"Male","No Kids","deg","part-time",10000,"Customer Service",1,9,"Small Town","Single",0,0,5,5,5,5,5,3,1,5,5,5,1,5,4,5,5,3,2,4,2,5,5,1,5,5,3,4,4,4,5,4,4,5,3,3,4,4,4,5,5,5,1,1,1,2,1,"yes","yes",5,3.66666666666667,4.1,1.2,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","ma","student",10000,"",4,0,"Village","Single",0,0,5,5,4,4,4,2,2,5,2,4,2,3,4,3,4,1,3,4,2,4,4,2,2,4,1,2,4,3,4,1,2,5,4,5,3,3,3,4,4,4,3,3,3,3,2,"yes","yes",4.4,3,3.2,2.8,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","deg","full-time",45000,"",1,4,"Village","Single",0,0,5,5,5,5,5,2,2,4,4,5,2,4,5,4,5,3,4,3,2,3,5,3,4,5,4,3,4,5,5,4,4,5,3,3,4,3,4,4,5,4,2,3,2,2,1,"yes","yes",5,3.46666666666667,4.05,2,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","deg","part-time",15000,"",3,0,"Small Town","Married",0,0,3,3,2,2,2,1,1,1,3,2,3,1,5,1,3,2,2,2,2,2,3,3,2,3,4,4,2,4,2,2,3,3,2,2,2,3,2,2,2,2,4,3,4,3,2,"no","no",2.4,2.06666666666667,2.6,3.2,0.909,"Very High"
"United Kingdom",55,"Female","No Kids","deg","part-time",10000,"",8,0,"","Married",0,0,3,4,3,2,1,1,1,2,1,2,3,2,2,1,5,1,1,1,1,2,3,1,2,4,1,2,5,2,4,3,2,4,2,2,3,2,2,3,3,3,3,3,3,4,3,"yes","yes",2.6,1.73333333333333,2.65,3.2,0.909,"Very High"
"United Kingdom",37,"Female","Yes Kids","ma","part-time",67500,"",4,0,"Village","Single",0,1,2,1,1,1,1,5,5,5,1,1,2,1,5,1,1,5,5,4,1,2,1,1,5,4,2,4,1,5,2,1,5,1,1,1,5,4,2,2,1,5,3,3,3,4,2,"no","no",1.2,2.93333333333333,2.65,3,0.909,"Very High"
"United Kingdom",37,"Male","No Kids","ma","full-time",67500,"",4,2,"Village","Single",0,0,4,4,4,3,3,3,3,4,4,3,2,3,4,3,3,5,5,5,4,3,4,5,4,5,1,3,3,4,4,4,3,4,3,4,4,5,5,4,5,5,1,3,2,3,1,"yes","yes",3.6,3.6,3.95,2,0.909,"Very High"
"United Kingdom",45,"Male","No Kids","phd","full-time",150000,"",7,0,"Large-City","Married",0,0,3,2,3,2,2,2,2,5,3,3,2,3,3,2,3,4,2,3,2,2,3,3,4,5,3,3,3,3,4,2,2,3,2,4,3,3,2,4,3,3,4,4,4,4,3,"yes","no",2.4,2.73333333333333,3.1,3.8,0.909,"Very High"
"United Kingdom",21,"Male","No Kids","deg","part-time",15000,"",3,6,"Village","Single",0,0,4,1,4,3,3,1,1,3,2,2,1,2,2,3,2,4,1,3,1,4,4,3,2,5,4,1,4,4,4,1,2,4,1,1,4,2,2,3,2,4,2,3,1,1,2,"yes","no",3,2.13333333333333,2.85,1.8,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","ltuni","part-time",25000,"",2,4,"Village","Divorced",0,0,5,4,5,3,3,1,1,5,3,4,2,4,4,1,4,3,2,2,1,5,5,2,4,5,5,4,4,3,4,2,2,4,2,4,4,5,5,4,4,2,2,1,1,2,2,"yes","yes",4,2.8,3.7,1.6,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","deg","full-time",45000,"",2,6,"Village","Single",0,0,3,2,2,2,2,1,1,2,1,3,1,1,3,1,4,4,2,2,1,2,3,2,3,5,2,2,3,3,2,2,2,2,2,3,3,4,2,4,3,2,3,3,3,4,2,"yes","no",2.2,1.93333333333333,2.7,3,0.909,"Very High"
"United Kingdom",37,"Female","Yes Kids","deg","part-time",25000,"",2,0,"Medium-Sized","Married",2,0,4,5,5,5,5,4,4,3,5,5,4,4,5,5,5,4,4,5,4,5,5,5,5,2,5,3,5,4,5,4,2,5,4,3,4,5,5,4,4,4,3,3,3,4,2,"yes","yes",4.8,4.4,4.15,3,0.909,"Very High"
"United Kingdom",28,"Male","No Kids","deg","full-time",45000,"",5,4,"Medium-Sized","Single",0,0,4,4,2,3,3,1,1,5,4,3,3,5,3,3,4,5,2,3,3,4,4,3,3,5,1,4,1,2,4,4,5,5,1,5,5,5,5,5,4,2,3,3,2,2,2,"yes","no",3.2,3.26666666666667,3.65,2.4,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","ma","full-time",55000,"",3,0,"Village","Married",0,1,3,3,3,3,3,2,4,2,5,4,2,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,4,3,5,4,3,3,5,3,5,2,3,3,3,2,"yes","yes",3,3.8,3.95,2.6,0.909,"Very High"
"United Kingdom",45,"Male","Yes Kids","deg","full-time",87500,"",1,0,"Village","Married",0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,"yes","yes",5,4.93333333333333,4.8,1.4,0.909,"Very High"
"United Kingdom",37,"Male","No Kids","deg","full-time",15000,"",6,5,"Large Town","Single",0,0,4,5,2,4,4,1,2,4,5,4,5,4,5,4,5,2,4,5,4,3,5,3,3,5,3,3,2,4,2,4,4,4,3,4,4,5,4,5,4,5,2,2,1,1,2,"yes","yes",3.8,3.8,3.8,1.6,0.909,"Very High"
"United Kingdom",37,"Male","No Kids","phd","full-time",87500,"",0,5,"Large Town","Married",0,0,3,4,2,2,2,2,1,1,1,4,1,2,3,4,3,2,2,4,1,1,3,1,5,4,3,2,4,2,4,2,2,3,3,4,4,4,4,2,4,1,3,3,4,4,4,"yes","no",2.6,2.13333333333333,3.05,3.6,0.909,"Very High"
"United Kingdom",32,"Female","No Kids","phd","full-time",67500,"",3,2,"Village","Single",0,0,4,3,3,3,3,1,2,2,3,3,3,2,5,3,4,2,4,3,4,3,4,2,2,4,4,3,3,4,4,3,5,4,2,3,5,2,2,4,4,3,3,3,4,3,3,"yes","no",3.2,2.93333333333333,3.35,3.2,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","ltuni","full-time",55000,"",0,7,"Village","Single",0,0,3,2,2,2,2,3,2,5,2,2,1,3,4,1,3,4,2,5,2,3,3,1,2,5,5,3,4,3,4,3,3,3,3,4,3,4,4,2,3,3,4,4,3,4,3,"yes","yes",2.2,2.8,3.25,3.6,0.909,"Very High"
"United Kingdom",45,"Male","No Kids","ma","part-time",67500,"",5,0,"Village","Single",0,0,4,3,2,3,3,2,2,4,5,3,5,4,3,3,4,2,5,4,3,5,4,3,5,4,4,3,4,3,4,4,4,4,4,4,3,5,5,4,4,2,3,2,2,4,1,"yes","yes",3,3.6,3.85,2.4,0.909,"Very High"
"United Kingdom",25,"Male","No Kids","deg","full-time",67500,"",4,0,"Small Town","Single",0,0,4,4,4,2,2,2,1,2,4,2,4,4,3,2,3,5,4,2,3,4,4,2,3,4,3,2,3,3,4,2,2,5,2,4,3,2,2,4,5,5,4,4,3,3,2,"yes","no",3.2,3,3.2,3.2,0.909,"Very High"
"United Kingdom",55,"Male","Yes Kids","ltuni","unemployed",25000,"",0,6,"Small Town","Separated",1,1,4,4,4,4,4,2,2,2,4,4,3,3,4,4,5,1,2,4,4,4,4,5,1,3,3,2,4,3,3,3,4,4,2,4,3,4,4,5,4,4,1,1,1,1,1,"yes","no",4,3.2,3.45,1,0.909,"Very High"
"United Kingdom",37,"Female","No Kids","deg","part-time",67500,"",3,0,"","Married",0,0,3,2,3,2,2,3,3,4,4,3,2,2,4,2,3,4,5,5,5,2,2,2,2,3,3,3,3,3,2,2,5,4,3,3,3,2,2,3,2,2,4,4,4,4,4,"yes","no",2.4,3.4,2.7,4,0.909,"Very High"
"United Kingdom",28,"Male","No Kids","ma","full-time",15000,"",4,0,"Village","Single",0,0,4,4,4,3,3,4,3,5,5,3,1,3,4,2,2,5,3,5,4,4,5,5,2,4,5,1,4,4,4,3,5,4,5,5,3,5,5,3,4,4,2,2,2,2,1,"yes","no",3.6,3.53333333333333,4,1.8,0.909,"Very High"
"United Kingdom",32,"Female","No Kids","deg","full-time",55000,"",1,3,"Village","Separated",0,0,3,3,4,3,3,1,1,1,2,4,3,3,3,2,2,1,1,3,1,1,3,3,2,2,4,2,4,4,4,1,1,4,1,2,3,4,2,4,4,4,1,3,2,2,3,"yes","yes",3.2,1.93333333333333,2.9,2.2,0.909,"Very High"
"United Kingdom",45,"Female","No Kids","ma","full-time",150000,"",6,0,"Village","Single",0,0,3,3,4,2,2,2,3,5,5,5,3,5,3,1,3,2,4,3,5,5,4,3,2,5,5,3,4,3,4,2,4,4,2,3,3,5,5,5,5,5,4,3,3,3,1,"yes","yes",2.8,3.6,3.8,2.8,0.909,"Very High"
"United Kingdom",23,"Female","No Kids","ltuni","student",35000,"",0,0,"Village","Single",0,0,5,5,5,5,5,2,3,3,4,2,3,5,5,4,5,5,4,2,4,5,5,4,3,5,5,3,3,5,4,2,3,4,4,3,5,2,4,4,4,4,1,1,1,1,1,"yes","yes",5,3.73333333333333,3.8,1,0.909,"Very High"
"United Kingdom",45,"Female","Yes Kids","ma","full-time",67500,"",0,0,"Medium-Sized","Married",1,1,4,4,5,4,4,1,3,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,3,5,5,5,3,5,5,4,5,4,5,5,5,5,4,5,3,3,3,3,3,2,"yes","yes",4.2,4.26666666666667,4.55,2.8,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","deg","unemployed",10000,"",0,0,"Village","Single",0,0,3,4,4,4,4,1,2,5,4,3,5,4,4,3,2,3,3,3,3,1,4,3,3,3,4,2,3,4,4,4,1,4,1,5,3,3,3,3,2,4,2,3,2,3,2,"yes","yes",3.8,3.06666666666667,3.15,2.4,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","phd","full-time",150000,"",2,7,"Small Town","Single",0,0,3,3,2,2,1,1,3,5,4,4,4,3,4,3,4,3,4,2,5,2,4,1,3,2,1,4,4,2,4,2,4,4,1,4,5,3,3,4,3,3,4,4,4,5,2,"yes","no",2.2,3.4,3.05,3.8,0.909,"Very High"
"United Kingdom",32,"Female","No Kids","ma","full-time",250000,"",2,2,"Village","Single",0,0,4,5,5,3,3,1,1,1,3,3,4,5,3,1,4,3,2,3,2,2,5,2,2,5,4,3,4,4,5,3,4,4,3,4,3,3,4,4,4,4,3,3,4,2,1,"yes","no",4,2.53333333333333,3.7,2.6,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","ma","full-time",150000,"",1,9,"Village","Married",0,0,2,3,2,2,2,2,1,2,2,3,4,4,4,2,3,2,2,3,2,4,4,1,2,4,3,3,4,3,4,2,4,4,3,1,3,2,2,3,4,4,4,3,2,4,3,"yes","no",2.2,2.66666666666667,3,3.2,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","ma","full-time",150000,"",10,0,"Small Town","Married",0,0,5,5,3,4,5,2,2,5,5,3,5,5,5,5,5,4,4,4,5,5,5,5,5,3,5,2,5,5,5,5,5,5,3,4,5,5,5,4,5,4,4,4,4,5,4,"yes","yes",4.4,4.26666666666667,4.5,4.2,0.909,"Very High"
"United Kingdom",24,"Male","No Kids","ma","full-time",67500,"",3,0,"Village","Single",0,0,3,3,3,2,3,1,1,4,3,2,3,4,4,2,3,2,3,3,3,3,3,2,4,4,2,2,3,3,4,2,3,3,2,2,4,4,3,3,4,4,3,3,4,4,2,"yes","yes",2.8,2.73333333333333,3.05,3.2,0.909,"Very High"
"United Kingdom",55,"Male","Yes Kids","ma","full-time",55000,"",10,0,"Small Town","Separated",0,1,4,5,3,3,4,3,4,4,4,4,2,4,3,4,4,5,4,4,4,5,3,3,4,2,2,3,4,4,3,3,4,4,4,3,4,4,4,5,3,3,1,1,1,2,1,"yes","yes",3.8,3.86666666666667,3.45,1.2,0.909,"Very High"
"United Kingdom",67,"Male","No Kids","ma","full-time",55000,"",NA,0,"Village","Married",0,0,5,5,5,5,5,3,1,2,2,5,5,5,5,5,5,5,1,4,1,5,5,5,5,2,4,4,5,5,5,2,2,5,3,3,5,5,5,5,5,5,2,2,2,2,1,"yes","yes",5,3.6,4.25,1.8,0.909,"Very High"
"United Kingdom",37,"Male","No Kids","deg","full-time",67500,"Customer Service",5,10,"Large-City","Single",0,0,3,3,2,1,2,1,1,2,3,2,2,2,2,2,4,3,2,2,2,1,2,1,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,5,5,5,4,5,"no","no",2.2,2.06666666666667,1.9,4.8,0.909,"Very High"
"United Kingdom",37,"Male","No Kids","deg","student",10000,"",0,8,"Medium-Sized","Single",0,0,4,4,4,4,4,5,2,3,4,4,5,5,5,4,5,5,3,4,5,5,4,4,3,4,4,3,4,4,5,2,3,5,5,4,4,5,5,5,5,5,1,1,1,2,1,"yes","yes",4,4.26666666666667,4.15,1.2,0.909,"Very High"
"United Kingdom",55,"","No Kids","ltuni","part-time",55000,"information assisstant",23,0,"Large Town","Married",0,0,4,3,3,3,3,3,3,4,4,4,4,5,3,3,4,1,3,4,4,4,4,3,2,2,4,2,4,4,3,3,5,4,3,4,4,3,3,4,5,4,3,3,3,3,3,"yes","yes",3.2,3.53333333333333,3.5,3,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","ma","full-time",55000,"Television Producer",3,0,"Large-City","Married",0,0,4,4,4,3,3,3,4,3,4,3,5,4,4,4,4,3,4,3,4,3,4,2,4,4,3,2,4,3,5,5,3,4,4,3,4,4,4,4,5,5,3,3,3,4,2,"yes","yes",3.6,3.66666666666667,3.8,3,0.909,"Very High"
"United Kingdom",28,"Female","No Kids","ma","full-time",67500,"",3,0,"Large-City","Married",0,0,2,2,2,1,1,1,1,1,1,1,3,1,2,4,2,2,2,3,1,1,3,1,2,2,3,3,2,3,2,1,3,3,2,2,3,2,2,2,2,2,4,4,4,5,5,"no","no",1.6,1.73333333333333,2.25,4.4,0.909,"Very High"
"United Kingdom",32,"Male","No Kids","deg","full-time",45000,"Press Officer",4,0,"Large-City","Single",0,0,4,4,4,4,4,3,3,4,4,3,3,4,2,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,"yes","yes",4,3.4,3.2,3,0.909,"Very High"
"United Kingdom",45,"Female","Yes Kids","ma","unemployed",15000,"",0,1,"Rural/Country","Divorced",1,2,5,5,3,3,4,4,3,2,3,4,3,4,3,3,3,2,2,3,2,4,4,3,2,4,5,3,4,3,3,3,2,4,4,3,4,2,3,5,4,4,3,2,1,3,2,"yes","no",4,3,3.45,2.2,0.909,"Very High"
